," ""Frames""","""Bytes""","""AVG""","""Frames_src""","""Bytes_src""","""AVG_src""","""Frames_dst""","""Bytes_dst""","""AVG_dst"""
1,377,41643,152,212,22705,152,165,18938,152
2,373,41624,157,207,22399,157,166,19225,157
3,370,41279,155,207,22423,155,163,18856,155
4,375,42155,152,210,22893,152,165,19262,152
5,368,43683,157,206,24086,157,162,19597,157
6,390,43165,165,214,23281,165,176,19884,165
7,362,38840,157,201,20822,157,161,18018,157
8,373,39688,153,209,21396,153,164,18292,153
9,363,39234,154,203,21314,154,160,17920,154
10,368,39145,180,206,21204,180,162,17941,180
11,373,39622,189,209,21360,189,164,18262,189
12,371,39550,179,208,21326,179,163,18224,179
13,365,39192,600,204,21101,600,161,18091,600
14,367,39806,663,206,21468,663,161,18338,663
15,363,38928,202,201,20823,202,162,18105,202
16,371,39428,656,206,21148,656,165,18280,656
17,372,39538,163,207,21224,163,165,18314,163
18,444,68586,198,247,27271,198,197,41315,198
19,367,41386,156,205,22214,156,162,19172,156
20,358,38467,157,198,20664,157,160,17803,157
21,369,39324,154,206,21153,154,163,18171,154
22,381,41556,159,213,22359,159,168,19197,159
23,370,39992,156,208,21600,156,162,18392,156
24,0,0,152,0,0,152,0,0,152
25,0,0,157,0,0,157,0,0,157
26,0,0,155,0,0,155,0,0,155
27,0,0,152,0,0,152,0,0,152
28,0,0,157,0,0,157,0,0,157
29,0,0,165,0,0,165,0,0,165
30,214,45721,157,111,35126,157,103,10595,157
31,0,0,153,0,0,153,0,0,153
32,0,0,154,0,0,154,0,0,154
33,0,0,180,0,0,180,0,0,180
34,0,0,189,0,0,189,0,0,189
35,0,0,179,0,0,179,0,0,179
36,0,0,600,0,0,600,0,0,600
37,0,0,663,0,0,663,0,0,663
38,0,0,202,0,0,202,0,0,202
39,0,0,656,0,0,656,0,0,656
40,0,0,163,0,0,163,0,0,163
41,0,0,198,0,0,198,0,0,198
42,0,0,156,0,0,156,0,0,156
43,0,0,157,0,0,157,0,0,157
44,162,34682,154,86,25886,154,76,8796,154
45,0,0,159,0,0,159,0,0,159
46,0,0,156,0,0,156,0,0,156
47,1928,141981,152,983,77296,152,945,64685,152
48,1937,146091,157,990,78594,157,947,67497,157
49,1916,140535,155,975,76384,155,941,64151,155
50,1964,146520,152,1003,78918,152,961,67602,152
51,1897,141261,157,967,76875,157,930,64386,157
52,1987,150647,165,1016,80285,165,971,70362,165
53,1931,141987,157,984,77210,157,947,64777,157
54,1964,146660,153,1002,78889,153,962,67771,153
55,1931,142141,154,985,77454,154,946,64687,154
56,1953,147818,180,1001,79766,180,952,68052,180
57,1996,150115,189,1022,82068,189,974,68047,189
58,2064,160606,179,1066,87342,179,998,73264,179
59,2004,152294,600,1031,83426,600,973,68868,600
60,2026,156990,663,1043,84970,663,983,72020,663
61,1955,146060,202,1000,79708,202,955,66352,202
62,1979,148424,656,1010,79804,656,969,68620,656
63,1988,151277,163,1019,82746,163,969,68531,163
64,2002,150298,198,1024,81107,198,978,69191,198
65,1891,137468,156,960,74565,156,931,62903,156
66,1933,143198,157,985,76938,157,948,66260,157
